agency,council_district,location_1,tow_description,tow_date,census_tract,neighborhood,census_block
RIV,UNIVERSITY,"{'latitude': '42.926511719547', 'longitude': '-78.813582806564'}",ACCIDENT,2013-06-08T00:00:00.000,41,UNKNOWN,3002
DPE,LOVEJOY,"{'latitude': '42.890769583209', 'longitude': '-78.814068785311'}",ILLEGAL VEHICLE,2010-06-08T00:00:00.000,24,UNKNOWN,5013
SBA,FILLMORE,"{'latitude': '42.895304542102', 'longitude': '-78.83934936588'}",ABANDONED VEHICLE,2010-01-16T00:00:00.000,166,UNKNOWN,1000
RIV,DELAWARE,"{'latitude': '42.939434554936', 'longitude': '-78.850607107649'}",ACCIDENT,2012-06-05T00:00:00.000,52.01,UNKNOWN,1006
RIV,NORTH,"{'latitude': '42.944742868084', 'longitude': '-78.907325276942'}",ACCIDENT,2013-01-04T00:00:00.000,57,UNKNOWN,2005
RIV,MASTEN,"{'latitude': '42.922319719328', 'longitude': '-78.826434789876'}",ACCIDENT,2013-03-01T00:00:00.000,34,UNKNOWN,1001
RON,FILLMORE,"{'latitude': '42.890612018864', 'longitude': '-78.878496244232'}",ILLEGALLY PARKED,2009-11-18T00:00:00.000,71.02,UNKNOWN,2007
DPE,SOUTH,"{'latitude': '42.848454363228', 'longitude': '-78.823758859745'}",ILLEGAL VEHICLE,2010-01-07T00:00:00.000,2,UNKNOWN,3000
SBA,NIAGARA,"{'latitude': '42.922982839491', 'longitude': '-78.88869108938'}",ILLEGALLY PARKED,2012-11-27T00:00:00.000,171,UNKNOWN,3005
SBA,NORTH,"{'latitude': '42.947686979577', 'longitude': '-78.880900719083'}",IMPOUNDED,2014-02-09T00:00:00.000,56,UNKNOWN,3002
RIV,ELLICOTT,"{'latitude': '42.900100351367', 'longitude': '-78.850102586451'}",ILLEGAL VEHICLE,2013-08-02T00:00:00.000,31,UNKNOWN,1006
DPE,,,ILLEGAL VEHICLE,2013-01-13T00:00:00.000,,UNKNOWN,
MNM,DELAWARE,"{'latitude': '42.928760214486', 'longitude': '-78.852957121553'}",ABANDONED VEHICLE,2007-06-13T00:00:00.000,53,UNKNOWN,2001
DPE,SOUTH,"{'latitude': '42.853904825134', 'longitude': '-78.810651785136'}",ILLEGAL VEHICLE,2008-02-15T00:00:00.000,10,UNKNOWN,3000
RIV,FILLMORE,"{'latitude': '42.874093739436', 'longitude': '-78.865778899322'}",ILLEGAL VEHICLE,2010-11-11T00:00:00.000,164,UNKNOWN,1007
DPE,LOVEJOY,"{'latitude': '42.91711140669', 'longitude': '-78.802394069117'}",STOLEN VEHICLE,2011-04-10T00:00:00.000,38,UNKNOWN,2004
RIV,LOVEJOY,"{'latitude': '42.897269230158', 'longitude': '-78.810963759875'}",ILLEGAL VEHICLE,2007-04-30T00:00:00.000,24,UNKNOWN,5001
RIV,SOUTH,"{'latitude': '42.841796117679', 'longitude': '-78.804626796744'}",ILLEGALLY PARKED,2012-06-05T00:00:00.000,7,UNKNOWN,1000
DPE,LOVEJOY,"{'latitude': '42.92130130954', 'longitude': '-78.805811461167'}",ABANDONED VEHICLE,2010-09-04T00:00:00.000,38,UNKNOWN,1005
RIV,DELAWARE,"{'latitude': '42.924095949994', 'longitude': '-78.880801813252'}",ILLEGALLY PARKED,2008-08-27T00:00:00.000,63.01,UNKNOWN,2001
