tow_reason,tow_date,state
IL,2013-02-16T00:00:00.000,NY
IL,2011-05-04T00:00:00.000,NY
IL,2013-04-18T00:00:00.000,NY
IL,2012-11-13T00:00:00.000,NY
IL,2011-05-14T00:00:00.000,NY
AB,2012-12-28T00:00:00.000,NY
AI,2014-01-16T00:00:00.000,NY
IL,2012-10-08T00:00:00.000,NY
IL,2013-01-13T00:00:00.000,NY
IP,2012-02-10T00:00:00.000,NY
IM,2011-12-23T00:00:00.000,NY
IP,2009-11-18T00:00:00.000,NY
IL,2013-07-11T00:00:00.000,NY
AI,2013-06-20T00:00:00.000,NY
IL,2010-11-29T00:00:00.000,NY
IP,2010-09-14T00:00:00.000,NY
IL,2008-11-15T00:00:00.000,NY
IL,2007-09-12T00:00:00.000,NY
